r_over_L,torus_deltaV_over_Q2,infinite_plane_deltaV_over_Q2
3.5399999999999998e-01,2.7995434503920602e-01,3.1308172570969062e-01
3.5499999999999998e-01,2.8019583118794905e-01,3.1352192506287363e-01
3.5599999999999998e-01,2.8043543540554161e-01,3.1396093426726812e-01
3.5699999999999998e-01,2.8067316278081400e-01,3.1439875960699576e-01
3.5799999999999998e-01,2.8090901834899373e-01,3.1483540731767906e-01
3.5899999999999999e-01,2.8114300709216583e-01,3.1527088358692656e-01
3.5999999999999999e-01,2.8137513393972535e-01,3.1570519455481116e-01
3.6099999999999999e-01,2.8160540376881527e-01,3.1613834631434340e-01
3.6199999999999999e-01,2.8183382140475721e-01,3.1657034491193853e-01
3.6299999999999999e-01,2.8206039162146984e-01,3.1700119634787827e-01
3.6399999999999999e-01,2.8228511914188475e-01,3.1743090657676715e-01
3.6499999999999999e-01,2.8250800863835862e-01,3.1785948150798293e-01
3.6599999999999999e-01,2.8272906473308146e-01,3.1828692700612221e-01
3.6699999999999999e-01,2.8294829199848764e-01,3.1871324889144020e-01
3.6799999999999999e-01,2.8316569495766442e-01,3.1913845294028576e-01
3.6899999999999999e-01,2.8338127808476088e-01,3.1956254488553099e-01
3.7000000000000000e-01,2.8359504580539580e-01,3.1998553041699573e-01
3.7100000000000000e-01,2.8380700249706031e-01,3.2040741518186722e-01
3.7200000000000000e-01,2.8401715248951337e-01,3.2082820478511442e-01
3.7300000000000000e-01,2.8422550006517266e-01,3.2124790478989829e-01
3.7400000000000000e-01,2.8443204945949069e-01,3.2166652071797597e-01
3.7500000000000000e-01,2.8463680486132331e-01,3.2208405805010148e-01
3.7600000000000000e-01,2.8483977041328823e-01,3.2250052222642089e-01
3.7700000000000000e-01,2.8504095021211245e-01,3.2291591864686331e-01
3.7800000000000000e-01,2.8524034830897349e-01,3.2333025267152710e-01
3.7900000000000000e-01,2.8543796870983712e-01,3.2374352962106179e-01
3.8000000000000000e-01,2.8563381537578902e-01,3.2415575477704500e-01
3.8100000000000001e-01,2.8582789222336902e-01,3.2456693338235598e-01
